"API","LATERAL_LENGTH_BLEND","PROP_PER_FOOT","WATER_PER_FOOT","OIL_CUM_3MOS","OIL_CUM_6MOS","OIL_CUM_12MOS","GOR_30","GOR_60","GOR_90","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","formation_alias","operator_alias","OIL_CUM_3MOS_NEIGH","OIL_CUM_6MOS_NEIGH","OIL_CUM_12MOS_NEIGH","case","neighbors_count","GOR_30_NEIGH","GOR_60_NEIGH","GOR_90_NEIGH","WATER_PER_FOOT_NEIGH","PROP_PER_FOOT_NEIGH","neigh_count","my_qi","my_di","my_b","my_EUR","p10rawcurve_seg1","p10rawcurve_seg2","p10rawcurve_seg3","p10rawcurve_seg4","p50rawcurve_seg1","p50rawcurve_seg2","p50rawcurve_seg3","p50rawcurve_seg4","p90rawcurve_seg1","p90rawcurve_seg2","p90rawcurve_seg3","p90rawcurve_seg4","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","my_rawcurve_seg1","my_rawcurve_seg2","my_rawcurve_seg3","my_rawcurve_seg4"
"35051236160000",4280,792.7847,1019.529,6456,9509,17506,27015.9171298636,29191.1885582772,30642.0716112532,"ANADARKO BASIN","OKLAHOMA","GRADY",34.783740232,-97.712387967,34.79733,-97.71327,"INDIAN 1870","WOODFORD","MARATHON",4223.8,9872.4,19563.6,6,10,26494.3558577293,28335.2423206717,29856.1127772014,1149.32073,687.007692,7,3783.13725261266,0.998935845713692,1.3,1809.77559259876,42767.1733333333,28444.7466666667,21779.46,47743.94,30930.8666666667,18145.0333333333,13098.3333333333,29639.9666666667,17606.86,14332.9866666667,10575.1266666667,23527.88,3958,2125,1737,1316,0,1870,1497,1281,1114,1118,1117,945,21673,7386,2879,9709
"35017244920000",4698,965.4718,1790.338,6118,11159,20235,14925.4606365159,13686.0465116279,13362.4171662985,"ANADARKO BASIN","OKLAHOMA","CANADIAN",35.695688111,-98.223087859,35.68182,-98.22334,"INDIAN 1870","WOODFORD","CIMAREX",5665.8,10682.6,17111.3,6,10,24302.8465571354,24408.2480471068,24568.8981875921,1614.75105,871.34282,9,2296.25724818199,0.603280176081112,1.3,4033.11182558616,24484.4,12953.76,9172.1,20892.5266666667,17950.7333333333,10246.7333333333,7259.06666666667,16470.0333333333,12362.88,7553.37333333333,3420.02,9861.80666666667,2388,2256,1694,1675,1672,1885,1613,1124,1550,1436,1468,1468,24574,14011,10171,24909
"33061018790000",9861,256.5129,106.5474,50255,76687,126984,1037.50761465495,1208.60849364412,1270.85862103273,"WILLISTON BASIN","NORTH DAKOTA","MOUNTRAIL",47.846684998,-102.598946968,47.81952,-102.59411,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","MARATHON",40136.7,74523.6,122612.5,6,10,958.504698683206,951.894822005562,963.470262286541,128.556772,240.67937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22982,15329,11944,10118,8621,7693,2360,6252,11371,10902,10551,8861,87574,26322,21364,44662
"33089006870000",10153,216.5775,151.8295,45608,80214,131354,1052.93329985773,1099.17396871626,1092.54217791411,"WILLISTON BASIN","NORTH DAKOTA","STARK",46.949691157,-103.175443532,46.92023,-103.1712,"FIFTH PRINCIPAL MERIDIAN 1815","THREE FORKS","WHITING",48872.75,79698.5,121159.25,3,16,1144.93225868117,1153.7761887167,1147.9128392869,130.2013445625,230.83369375,16,23054.6508971677,0.985534090314174,1.3,15377.7263493784,9047.05,3699.75,2780.05,6607.88333333333,6170.46666666667,2571.53333333333,1643.78333333333,4280.8,3866.25,1641.58333333333,601.583333333333,2275.86666666667,23898,15931,12331,9273,13002,9969,8098,9281,8574,7869,7349,6861,159983,53918,31137,82959
"33053045510000",9446,401.6919,334.4092,33643,58914,83634,903.8707841184,940.339263549855,860.062438573162,"WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.762899953,-103.554827596,47.78977,-103.55199,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","NINE POINT ENERGY LLC",27244.2,47682.4,73302.9,3,10,1085.47255442761,1100.27030554973,1032.32127953479,326.40386,399.81894,10,14414.8296725558,0.988707014442315,1.3,9249.33218117801,4747.27333333333,2608.24,2261.07666666667,5120.70333333333,3396.88333333333,1510.65,1123.68333333333,2777.08333333333,1954.51666666667,451.36,476.293333333333,970.253333333333,14054,10116,10424,7737,7110,4659,5527,4508,3235,2379,4412,3847,86563,33561,21687,51617
"33061022360100",2568,396.5366,361.2665,23086,32999,56956,723.090709947226,1009.24873019483,1180.83318848137,"WILLISTON BASIN","NORTH DAKOTA","MOUNTRAIL",48.266472626,-102.632396747,48.26774,-102.5913,"FIFTH PRINCIPAL MERIDIAN 1815","THREE FORKS","EQUINOR",19745.75,37771.3333333333,64368.25,6,12,1028.57563518977,962.268814077055,906.762427246274,233.641069166667,283.268951666667,9,6835.03743542058,0.875477531776172,1.3,7258.87170522171,3549.65333333333,2363.04666666667,1625.12,3943.76333333333,2248.6,1199.96666666667,719.95,1892.08333333333,1253.84,590.873333333333,121.92,686.596666666667,7669,5649,5019,4836,3790,3153,2265,394,1858,3211,5540,3629,43384,21547,19062,38489
"33089006980000",11036,263.5728,172.0502,51200,78898,119706,1061.4850159049,1084.82961675837,1097.66449998975,"WILLISTON BASIN","NORTH DAKOTA","STARK",46.94805018,-103.192341363,46.97961,-103.19257,"FIFTH PRINCIPAL MERIDIAN 1815","THREE FORKS","WHITING",55894.5625,92317.1875,140229.5625,3,16,1144.02780165265,1156.24604394895,1155.18086924237,128.6014383125,231.2884125,16,23461.515179336,0.996813744449725,1.3,12732.5420593149,9699.01666666667,3911.36666666667,3099.53333333333,7150.26666666667,6868,2879.03333333333,1829.41666666667,4778.11666666667,4659.08333333333,1840.46666666667,737.7,2580.71666666667,23892,17544,7333,11164,9201,8579,7483,7158,6524,5554,5510,4211,132686,42469,25545,64548
"35017244020000",4784,731.8911,1765.778,4813,9301,12346,92710.0048332528,90569.2771084337,84467.0032455824,"ANADARKO BASIN","OKLAHOMA","CANADIAN",35.580917957,-98.227416436,35.59473,-98.22758,"INDIAN 1870","WOODFORD","DEVON",3083.30769230769,6428,9569.38461538462,2,13,88912.0160157931,93885.780076897,99735.4136586684,1600.17469230769,751.493176923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1161,2069,1583,1894,1482,1112,1297,763,774,211,0,0,87574,26322,21364,44662
"33053041130100",4139,412.5876,372.2285,50267,79019,109384,1946.24517809729,1228.69217460362,993.474844331271,"WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",48.037491459,-102.909068574,48.02443,-102.9062,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","EXXON",29289.1818181818,75026.5454545455,122080.363636364,6,11,1633.38125011118,1803.92577517453,1744.856291419,217.898447272727,316.089445454545,4,5222.51794859884,0.658093643696778,1.3,8401.53558267338,14791.0333333333,10585.05,5698.53333333333,16174.5066666667,11264.65,3932.01666666667,3567.36666666667,7362.16666666667,7279.74333333333,1873.94666666667,2062,3830.34666666667,6179,1750,5343,5903,4808,3966,2292,2082,4617,3758,2734,1368,52918,34233,20432,55796
"35017244990000",4727,850.9589,1357.049,8866,16429,26441,10730.7543520309,10730.7543520309,10730.3269852677,"ANADARKO BASIN","OKLAHOMA","CANADIAN",35.609959966,-98.178063736,35.62358,-98.17594,"INDIAN 1870","WOODFORD","DEVON",9207.65217391304,15288.4782608696,24268.7391304348,3,23,24190.4468060644,25438.156626852,28611.8207226925,1259.19867352174,824.326469565217,23,7096.39595072297,0.999995720638513,1.3,2259.63783250454,37389.9133333333,17871.2933333333,13604.9933333333,29737.2933333333,32007.3666666667,14350.9,10778.3666666667,23690.3666666667,20666.7466666667,7116.34666666667,6552.28666666667,12553.62,7755,0,3377,2946,1240,639,1321,2328,2056,1934,1734,1479,31307,8120,5667,14220
