CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
SHALOMAR ENERGY CORPORATION,1,86661,86661,,,,,,
B & O PETROLEUM,1,237037,237037,,,,,,
PECK & STEWART,1,85167,85167,,,,,,
BOYLE & BALL,1,242850,242850,,,,,,
KIMBERLY OIL REFINING,1,459521,459521,,,,,,
MEDDERS TOM ETAL,1,468043,468043,,,,,,
PEGGI OIL,1,413744,413744,,,,,,
ZENITH PRODUCED WATER-JOHNSON LLC,1,238316,238316,,,,,,
TEXAS OIL & ROYALTY CORPORATION,1,33194,33194,,,,,,
BURKE & HEINIGER,1,245664,245664,,,,,,
WYOMING PRODUCERS,1,423832,423832,,,,,,
WORSHAM J I,1,52167,52167,,,,,,
ADA-TEX CITY REF,1,217601,217601,,,,,,
HARRISON & LACEY,1,163445,163445,,,,,,
BARROWS J K,1,157754,157754,,,,,,
CARROLL STANLEY & DAVID,1,247623,247623,,,,,,
EVANSTON EXPLORATION,1,161659,161659,,,,,,
CORPUS CHRISTI EXPLORATION COMPANY,1,122310,122310,,,,,,
SHOTTS RON,1,103686,103686,,,,,,
WOOSLEY JERRY,1,423562,423562,,,,,,
BRUNSON NOLAN H INCORPORATED,1,244346,244346,,,,,,
NEWCOMB ENERGY SERVICES,1,24077,24077,,,,,,
PEMBROOK-LYLE,1,413772,413772,,,,,,
SHAFFER MORGAN,1,426202,426202,,,,,,
COLORADO MORT & INVESTMENT,1,250252,250252,,,,,,
ANDREWS & MCCAMEY,1,235262,235262,,,,,,
LEAN-TEX OIL,1,462219,462219,,,,,,
CALIF EXPLORATION COMPANY,1,43559,43559,,,,,,
METZGER J W,1,47857,47857,,,,,,
CAPSTAR DRILLING INCORPORATED,1,212616,212616,,,,,,
STRICKLAND T C ETAL,1,430904,430904,,,,,,
THECK & CROSS DRILLING,1,203991,203991,,,,,,
HAMILTON JOHN E,1,272339,272339,,,,,,
BUECHLER SHERMAN,1,140631,140631,,,,,,
KIEL O B & WOLFSON F J,1,201849,201849,,,,,,
P S OIL CORPORATION,1,84974,84974,,,,,,
PETERSON S F& RIGGS LON,1,414277,414277,,,,,,
PRIDDY W N ETAL,1,415942,415942,,,,,,
SKINNER LES INC,1,109279,109279,,,,,,
BENTLEY J C,1,43018,43018,,,,,,
BROWN & WALLING,1,244010,244010,,,,,,
DISHERMAN P W,1,267779,267779,,,,,,
MONORE CO,1,469845,469845,,,,,,
TOM J C,1,451981,451981,,,,,,
PAOLI INVESTORS LIMITED,1,75099,75099,,,,,,
CRON DRILLING,1,252558,252558,,,,,,
MONT-TEXAS CO,1,469872,469872,,,,,,
MARBLES ETAL,1,465330,465330,,,,,,
PETROL DRILLING,1,149146,149146,,,,,,
TOM JACKS,1,451982,451982,,,,,,
STEMMA EXPLORATION & PRODUCTION COMPANY,1,31845,31845,,,,,,
FLYNN & BARBOUR,1,277374,277374,,,,,,
SACHEE-LUNDBERG,1,49919,49919,,,,,,
BEST ROBERT E,1,58997,58997,,,,,,
CARAVELLE INCORPORATED,1,59809,59809,,,,,,
LUBAR OIL & WOODWARD,1,705221,705221,,,,,,
B F W OIL,1,237082,237082,,,,,,
WIEGEL BILL,1,107103,107103,,,,,,
HOOSIER BELL,1,194985,194985,,,,,,
MCGRAHANHAM & MEED,1,467246,467246,,,,,,
BROCK W E,1,243947,243947,,,,,,
BAYAN PETROLEUM CORP,1,239174,239174,,,,,,
DONNE D E JR,1,268336,268336,,,,,,
HOUSTON OIL & VACUUM,1,412344,412344,,,,,,
SEVENTY-SEVEN CORP,1,720551,720551,,,,,,
N CENT OIL & CYPRUS OIL,1,718388,718388,,,,,,
WINSAUER WELDON O,1,422961,422961,,,,,,
SENDERO DEV,1,121705,121705,,,,,,
H & J DRLG & SPENCER M,1,703958,703958,,,,,,
MCCRORY T W,1,466837,466837,,,,,,
NICHOLSON C N ETAL,1,472518,472518,,,,,,
THOMPSON C H,1,451477,451477,,,,,,
BAKER E,1,237702,237702,,,,,,
LANDMARK OIL & GAS LIMITED,1,19399,19399,,,,,,
GRAY JAMES,1,448772,448772,,,,,,
TEAKLE,1,450676,450676,,,,,,
MARCLIFF ENERGY,1,121489,121489,,,,,,
DOCTORS OIL COMPANY,1,161110,161110,,,,,,
GRAY V & W W,1,448789,448789,,,,,,
REED & MALOY,1,417269,417269,,,,,,
CORTE FRANK J,1,7528,7528,,,,,,
LOGAN S B,1,165506,165506,,,,,,
BESK & GOWER,1,240483,240483,,,,,,
WEAVER & STOUT,1,77200,77200,,,,,,
DYKEMAN P B,1,273071,273071,,,,,,
MILLER DYER RESOURCES LLC,1,211378,211378,,,,,,
BEACH PETROL,1,76218,76218,,,,,,
MARYLAND REFINING,1,465850,465850,,,,,,
PADON JACK,1,102601,102601,,,,,,
GRAY B ETAL,1,448744,448744,,,,,,
LILYSTRAND J C JR,1,463264,463264,,,,,,
PULS & HOYT,1,49307,49307,,,,,,
GALLITAN VALLEY OIL,1,446598,446598,,,,,,
SOMERVILL W R,1,428626,428626,,,,,,
RUNYON & SHORT,1,419554,419554,,,,,,
JOYCE OIL & GAS INCORPORATED,1,17859,17859,,,,,,
KERAN & MOORE,1,459199,459199,,,,,,
DK&N OIL COMPANY,1,268075,268075,,,,,,
SCHRIER M B,1,425394,425394,,,,,,
BRADCO OIL & GAS BARLETT A,1,242967,242967,,,,,,
CASEY,1,159432,159432,,,,,,
HOWERTON RAY ETAL,1,412490,412490,,,,,,
RYERS LOUIS H,1,419804,419804,,,,,,
HEAD BEN JR INC,1,409569,409569,,,,,,
COHEN DON,1,43866,43866,,,,,,
OLYMPIC PRODUCTION COMPANY,1,24919,24919,,,,,,
BAROCAS BROS,1,238619,238619,,,,,,
DARNELL ALMA ET AL,1,8507,8507,,,,,,
DALTON HOMER L,1,107621,107621,,,,,,
B R W COMPANY,1,79834,79834,,,,,,
CALDWELL JOHN H,1,709555,709555,,,,,,
PACE & HOOSIER,1,197400,197400,,,,,,
GILES & DOSS,1,447545,447545,,,,,,
DRAFT OIL,1,110671,110671,,,,,,
STERN H E,1,430092,430092,,,,,,
LAUGHLIN PHIL E & GARY B,1,83147,83147,,,,,,
HARP RODGERS S,1,408449,408449,,,,,,
CAMP & ENT,1,246175,246175,,,,,,
AUSTIN JIM,1,92078,92078,,,,,,
MACAWASH OIL,1,464768,464768,,,,,,
GEMMILL BRICE J & TROESTER G,1,12574,12574,,,,,,
BANDY PAUL L,1,61777,61777,,,,,,
H AND H,1,130183,130183,,,,,,
BEYERBACH CHAS,1,240563,240563,,,,,,
LEWIS C H&DAUBERT CHAS,1,462968,462968,,,,,,
GOODARD H H,1,448135,448135,,,,,,
HORWELL E P,1,412236,412236,,,,,,
BUTLER LEON C,1,244822,244822,,,,,,
WILLIAMS-KOTYZA,1,422526,422526,,,,,,
ROGERS PROD,1,114146,114146,,,,,,
GEE H C & LONG C E SR,1,447091,447091,,,,,,
ALPHA RESOURCES INCORPORATED,1,92152,92152,,,,,,
JORDEN C L,1,458160,458160,,,,,,
H & R & WALSH & TRANT,1,717290,717290,,,,,,
REVERVE DEV,1,417682,417682,,,,,,
MYERS R W ETAL,1,471362,471362,,,,,,
MOHAVE NORTH AMERICAN CORPORATION,1,143325,143325,,,,,,
PRAIRIE DISPOSAL LLC,1,249236,249236,,,,,,
MCVAY LARRY OPERATING COMPANY INC,1,22277,22277,,,,,,
KELLY & PARKS OIL LEASES,1,18291,18291,,,,,,
BILLING OIL & GAS,1,158103,158103,,,,,,
NICHOLS-DUNCAN OIL CO,1,472505,472505,,,,,,
KODESH & BLUBAUGH,1,165099,165099,,,,,,
ROBERTSON ALBERT,1,92675,92675,,,,,,
FIVE-O PROD,1,102701,102701,,,,,,
SCHRCHNGOT WILSON & NIC,1,425383,425383,,,,,,
STRIBLING J C ETAL,1,430895,430895,,,,,,
DEVTEK INCORPORATED,1,266795,266795,,,,,,
TOLBERT EUGENE ETAL,1,451947,451947,,,,,,
NORTH SHORE CORP,1,472969,472969,,,,,,
ALSEN F A,1,157095,157095,,,,,,
VOSS & VOSS,1,51562,51562,,,,,,
CHRISTMAS LLC,1,227568,227568,,,,,,
SNYDER HYDRAULICS,1,428497,428497,,,,,,
SVENDSEN R H,1,431585,431585,,,,,,
CURTIS BUFORD INCORPORATED,1,91485,91485,,,,,,
TAYLOR & CASLETON,1,118206,118206,,,,,,
WHEELER L C & R C V,1,421628,421628,,,,,,
MORRIS R S & MEREDITH N,1,470447,470447,,,,,,
HAWN G F,1,409294,409294,,,,,,
WILSON & DAVIS OIL,1,109305,109305,,,,,,
GRAHAM GEO W ET AL,1,81865,81865,,,,,,
MCGUIRE & MCCORMICK,1,467278,467278,,,,,,
MASSINGILL & KELLER,1,465946,465946,,,,,,
RILEY DORIS,1,49623,49623,,,,,,
HAMDEN OIL,1,407701,407701,,,,,,
LEE R L,1,462494,462494,,,,,,
MIDLAND EMPIRE OIL,1,468811,468811,,,,,,
TEXAKOTA OIL CO,1,450983,450983,,,,,,
SHEFFLER & FURLOW,1,426508,426508,,,,,,
RICH JAS W,1,417865,417865,,,,,,
ANDERSON DUNHAM & PUGH BILL,1,79692,79692,,,,,,
GOFF GENE-SUTTON RW,1,447990,447990,,,,,,
HARRIS ENGINEERING,1,101760,101760,,,,,,
CHAPMAN FRED G ETAL,1,227714,227714,,,,,,
WELCH GEORGE FAMILY TRUST,1,51785,51785,,,,,,
HELWIG H W,1,717390,717390,,,,,,
LITTLE PINE ISLAND OIL,1,463510,463510,,,,,,
SPARGER DEWEY E,1,31488,31488,,,,,,
LONG BROS & TSESMELIS,1,463799,463799,,,,,,
KANAB URANIUM CORPORATION,1,274834,274834,,,,,,
FRANCO AMERICAN OIL,1,277414,277414,,,,,,
PURCEELL PAUL E M,1,416254,416254,,,,,,
LEPER & ROCK,1,462778,462778,,,,,,
DOW J R,1,272636,272636,,,,,,
SCHLEUTER BROS,1,425223,425223,,,,,,
MCCLESKEY OPERATING INCORPORATED,1,231832,231832,,,,,,
SHERMAN,1,149973,149973,,,,,,
FINDLEY J D ETAL,1,182698,182698,,,,,,
RICHARDSON D M,1,417925,417925,,,,,,
JOHNSON D W,1,457511,457511,,,,,,
CHICKLA PRODUCTION,1,248254,248254,,,,,,
LENNOX OIL,1,115730,115730,,,,,,
VANCE J D,1,453454,453454,,,,,,
RUTHERFORD R P,1,200822,200822,,,,,,
MCKINNIE OIL,1,467489,467489,,,,,,
JOHNSON-BINGHAM-ETAL,1,457656,457656,,,,,,
MOSBACHER ROBERT CHAMBER,1,173030,173030,,,,,,
JACK ENERGY LLC,1,231313,231313,,,,,,
RIGBY PET,1,113372,113372,,,,,,
MOSELY OIL & GAS,1,119363,119363,,,,,,
FOSS G W,1,276836,276836,,,,,,
DAVIS MALCONA COMPANY,1,160757,160757,,,,,,
GRIMES H J ETAL,1,449242,449242,,,,,,
HOWETH & SURGER,1,412493,412493,,,,,,
GLOBCO COMPANY,1,162616,162616,,,,,,
PRINCE ETAL,1,199089,199089,,,,,,
HUGO & BEST,1,164131,164131,,,,,,
STUARCO-AK-SAR-BEN PET,1,708148,708148,,,,,,
LEMON I M,1,83226,83226,,,,,,
BROADUS LEWIS,1,120340,120340,,,,,,
WEVER CARL,1,421553,421553,,,,,,
STUARCO OIL & BELCO PET,1,708127,708127,,,,,,
HOLMES DRLG-NEWTON W F,1,411801,411801,,,,,,
STEELE JOHN,1,429780,429780,,,,,,
STACEY P P,1,429200,429200,,,,,,
SHARPLES OIL-ZEPHYR DRL,1,707592,707592,,,,,,
SMITH L B /GRAYBOL/,1,428133,428133,,,,,,
BOLES & GRIMES PRODUCING COMPANY,1,80030,80030,,,,,,
PHILLIPS J R,1,167354,167354,,,,,,
CIRCLE SEVEN OIL & GAS INCORPORATED,1,60188,60188,,,,,,
KIMBARK EXPLR-SUNDANCE,1,704929,704929,,,,,,
WICK OILS INCORPORATED,1,170377,170377,,,,,,
MAX PRAY & F MORGAN,1,466100,466100,,,,,,
PICKENS T BOONE JR,1,122564,122564,,,,,,
COHENOUR & AMEY,1,159912,159912,,,,,,
GREENROYD VIRGIL ETAL,1,449011,449011,,,,,,
MCCURTIN BILL,1,21971,21971,,,,,,
MCGRAW O&G,1,467256,467256,,,,,,
STERNS L G,1,430097,430097,,,,,,
GORRELL W E,1,448310,448310,,,,,,
TEXAS ENEROIL,1,124015,124015,,,,,,
RUSSELL GARRETT L,1,419655,419655,,,,,,
MITCHELL J F,1,469554,469554,,,,,,
JENKINS BILL ETAL,1,457171,457171,,,,,,
SMITH H R-ORGAIN-CARR,1,719175,719175,,,,,,
LANIER SIDNEY,1,30691,30691,,,,,,
YUHL EDDIE,1,246359,246359,,,,,,
MCGOULDRICH J M,1,47681,47681,,,,,,
AGAVE ENERGY COMPANY,1,238858,238858,,,,,,
CHAFIN & HEDGES PETROLEUM COMPANY INC,1,60017,60017,,,,,,
SWEET-GRASS TROY,1,431752,431752,,,,,,
JORDAN E N & JULIA,1,458132,458132,,,,,,
ADAMS WALTER D TRUSTEE,1,79587,79587,,,,,,
TIDEWATER ASSOC,1,451725,451725,,,,,,
EDWARDS HIRAM,1,274039,274039,,,,,,
PROVIDENCE OPERATING LLC,1,253484,253484,,,,,,
THORNTON W B,1,451609,451609,,,,,,
RUSSELL OTIS-GLEN ROSE,1,419672,419672,,,,,,
OKMULGEE OIL & DEVEL,1,473736,473736,,,,,,
BAKER J W,1,136168,136168,,,,,,
NBS CORPORATION,1,471756,471756,,,,,,
WARNER-LUTTRELL,1,51692,51692,,,,,,
SHEETS J C,1,426494,426494,,,,,,
BASIN PETROLEUM INCORPORATED,1,91069,91069,,,,,,
PERSYN CHAS ETAL,1,414149,414149,,,,,,
EAST RESOURCES INCORPORATED,1,214028,214028,,,,,,
STALLUP & HAINES,1,429322,429322,,,,,,
CALHOUN & DALTON,1,245945,245945,,,,,,
AMER CONSOLIDATED OIL,1,233207,233207,,,,,,
BEADLE,1,239301,239301,,,,,,
DERRICK AMERICAN OIL INCORPORATED,1,155199,155199,,,,,,
FANSLER HARRY L,1,276241,276241,,,,,,
DIMOCK GEORGE,1,268062,268062,,,,,,
MORGAN DAVE & KANOTEX,1,253238,253238,,,,,,
GREGG A W JUNIOR TRUSTEE,1,162905,162905,,,,,,
WHYTE OIL,1,422084,422084,,,,,,
ROBERTSON G B,1,418537,418537,,,,,,
HASKINS RAY H,1,27815,27815,,,,,,
MOBLEY O B,1,23048,23048,,,,,,
LANDON & CONNELY,1,461464,461464,,,,,,
FIVE MILE CREEK,1,276807,276807,,,,,,
SHIPP-NASH & WADE,1,426816,426816,,,,,,
RDG DRILLING,1,115988,115988,,,,,,
DIME BOX PETROLEUM,1,141252,141252,,,,,,
HOFFMAN H J ETAL,1,411450,411450,,,,,,
CARPENTER & BAKER,1,247329,247329,,,,,,
BAILEAU,1,237336,237336,,,,,,
STOVAL FRED,1,430680,430680,,,,,,
J C WILKENSON,1,456548,456548,,,,,,
CHAMBERS&KENEDY-TP C&O,1,702513,702513,,,,,,
DANIEL-PRICE LTD PRTNRS,1,119910,119910,,,,,,
TWISTER GAS SERVICES LLC,1,134986,134986,,,,,,
LINDSAY ROBERT G,1,103539,103539,,,,,,
GOUKER HAROLD & ETAL,1,448360,448360,,,,,,
FRANCIS & STONE OIL,1,277325,277325,,,,,,
HANCOCK JD-FRAZIER ETAL,1,704056,704056,,,,,,
SACRAMENTO OIL & GAS COMPANY,1,72936,72936,,,,,,
PORTER CARL,1,415467,415467,,,,,,
CHAMPION BROTHERS,1,247707,247707,,,,,,
ASH J B OIL & GAS COMPANY,1,121960,121960,,,,,,
CAMPBELL DRILLING & PROD COMPANY,1,80330,80330,,,,,,
PHELPS F P,1,701682,701682,,,,,,
ENERGY ONE LLC,1,235697,235697,,,,,,
WHITTINGTON & PAGE,1,422051,422051,,,,,,
JET DRILLING COMPANY,1,17316,17316,,,,,,
MAGNATE OIL CO,1,464945,464945,,,,,,
TODD J R,1,87927,87927,,,,,,
STEWART C E,1,50732,50732,,,,,,
FRANCHOT-CO ET AL,1,63769,63769,,,,,,
SLATER OIL,1,427668,427668,,,,,,
DUNN MORELAND OIL COMPANY,1,81165,81165,,,,,,
SPURLOCK & SPINES EXPLORATION INC,1,31633,31633,,,,,,
T M G CO,1,450210,450210,,,,,,
STEADHAM-THRASHER,1,429663,429663,,,,,,
GLENN JAKE,1,45329,45329,,,,,,
THOMAS LB-ROGERS JJ ETL,1,451371,451371,,,,,,
PITTSBURGH REFUGIO OIL,1,415082,415082,,,,,,
EL TEJAS OIL,1,274661,274661,,,,,,
JANAK A ET AL,1,456968,456968,,,,,,
ROUNDS DON M-AK-SAR-BEN,1,718891,718891,,,,,,
WILLIAMSON-RODEN-BRUNER,1,422564,422564,,,,,,
UNION OIL PRODUCTS OF,1,453124,453124,,,,,,
SCHINDLER RAYMOND G,1,425199,425199,,,,,,
NORTHWEST LAND & OIL INCORPORATED,1,76439,76439,,,,,,
YODER EDWARD,1,170716,170716,,,,,,
ANADARCO ENERGY SERVICE COMPANY,1,139937,139937,,,,,,
PLUMMER H E,1,26640,26640,,,,,,
ONEAL HARRY ETAL,1,474610,474610,,,,,,
HYDE & STROMFELTZ,1,164202,164202,,,,,,
BOYLES BROTHERS DRILLING,1,138439,138439,,,,,,
NITRONICS CORP,1,472606,472606,,,,,,
ACHTERHOS C A,1,388,388,,,,,,
MCGARVEY-STARK,1,73577,73577,,,,,,
BAKER H E,1,58720,58720,,,,,,
WHITE EAGLE ENERGY,1,145740,145740,,,,,,
PATTERSON W C,1,201648,201648,,,,,,
ROARK-HOOKER-WILSON,1,418377,418377,,,,,,
AUDEN OIL INCORPORATED,1,131242,131242,,,,,,
EMPIRE DRILLING & BLAIR JACK,1,182020,182020,,,,,,
MCCORREY-ZOCH ETAL,1,466777,466777,,,,,,
LANTZ OIL,1,114032,114032,,,,,,
FREEMAN TEX DRILLING COMPANY,1,204341,204341,,,,,,
MARTIN L,1,165835,165835,,,,,,
WATKINS & WATKINS,1,110952,110952,,,,,,
MANZANOLA OIL & GAS,1,465294,465294,,,,,,
EVOLUTION OIL GROUP,1,237955,237955,,,,,,
BLUE-TEX DRILLING,1,242024,242024,,,,,,
DON-LEE OIL & GAS,1,269070,269070,,,,,,
MANAHAN GEORGE,1,196331,196331,,,,,,
GOADY-KOONTZ,1,447930,447930,,,,,,
GREENE THOMAS J,1,81923,81923,,,,,,
ATKINSON W C,1,236533,236533,,,,,,
REDI CORPORATION,1,72913,72913,,,,,,
SYLVITE CORPORATION,1,98003,98003,,,,,,
WARREN R B COMPANY,1,88493,88493,,,,,,
ALCORN DAVID V,1,211970,211970,,,,,,
HENSAL PAYNE,1,48907,48907,,,,,,
NORMAN-STALLINGS ETAL,1,472861,472861,,,,,,
BARCH DRILLING COMPANY,1,154924,154924,,,,,,
DAVON & MIDWEST,1,44289,44289,,,,,,
PURPLE SAGE OIL & GAS,1,226814,226814,,,,,,
MOORE LEY C,1,84318,84318,,,,,,
G & L PARTNERSHIP,1,12152,12152,,,,,,
RYALS J C,1,419742,419742,,,,,,
FADEM ALBERT,1,161687,161687,,,,,,
PEGG BROS&DOCHNE WALTER,1,413735,413735,,,,,,
BELL W M,1,42984,42984,,,,,,
ROSEN WALTER T,1,86212,86212,,,,,,
WIEGAND GILBERT,1,422152,422152,,,,,,
AUTRY & JOSEPHSON,1,171459,171459,,,,,,
HANNIFIN D L,1,91695,91695,,,,,,
APPELL W H & CARTER W W,1,79745,79745,,,,,,
EAST OUTLOOK OPERATIONS LLC,1,247420,247420,,,,,,
NEWBOURNE OIL CO,1,721420,721420,,,,,,
LANGE ETAL,1,461571,461571,,,,,,
DELTA DRLG&PAULEY&WORTH,1,703097,703097,,,,,,
TEXICAL OIL COMPANY,1,186400,186400,,,,,,
KIRK,1,459923,459923,,,,,,
BEST RESOURCES,1,140424,140424,,,,,,
FRANCHOT-MID-CONTINENT,1,277300,277300,,,,,,
CURRENT RESOURCES,1,141101,141101,,,,,,
CASA GRAND VALLEY OIL,1,246653,246653,,,,,,
MPS-NORIS O&G-SCOGGINS,1,470818,470818,,,,,,
SHANNON R H,1,72949,72949,,,,,,
CEMENT OIL & GAS,1,247314,247314,,,,,,
BUZZINI JACOBS & PICKETT,1,245013,245013,,,,,,
SCHEHIN THERESA,1,132325,132325,,,,,,
GUSTAFSON EJ,1,449627,449627,,,,,,
MORFORD JOSEPH K CONSLT,1,121633,121633,,,,,,
SPEAR V D,1,428903,428903,,,,,,
BOND OIL- INMAN CURTIS,1,230250,230250,,,,,,
PROVEN RESERVES PRODUCTION COMPANY,1,49281,49281,,,,,,
LEAK M J ETAL,1,462215,462215,,,,,,
CUMMSEH,1,252777,252777,,,,,,
NATURAL OIL & GAS CORPORATION,1,143476,143476,,,,,,
VOYLES C W REED H M ETL,1,454031,454031,,,,,,
BOYDSTON J W,1,242814,242814,,,,,,
DUGGER HERRING & GAYLE,1,272966,272966,,,,,,
YANKEE ETAL,1,423883,423883,,,,,,
AITKEN & HULTGREN,1,196008,196008,,,,,,
MCCORMICK & SMITH,1,466756,466756,,,,,,
DOUGLASS FRANK P,1,161196,161196,,,,,,
SHEILDS ROWE & WHITAKER,1,426515,426515,,,,,,
MCNUTT P L,1,47756,47756,,,,,,
FT CLLNS CONSOLD RYLTS,1,456328,456328,,,,,,
CHARLESWORTH ROY,1,60080,60080,,,,,,
WILCOX PETROLEUM OPERATING LLC,1,218758,218758,,,,,,
OZAN OIL COMPANY,1,48726,48726,,,,,,
LAMBERTON & NOLAN,1,461363,461363,,,,,,
KARANKAWA OIL COMPANY INCORPORATED,1,55192,55192,,,,,,
HOLLY URANIUM CORP,1,411767,411767,,,,,,
JUDGMENT OIL & GAS COMPANY INCORPORATED,1,17882,17882,,,,,,
REINHOLD PAUL E,1,417509,417509,,,,,,
CARRL OIL & DAN AULD,1,702422,702422,,,,,,
TAMARIND INVESTMENTS LLC,1,231308,231308,,,,,,
COLSON W E & WALKER J,1,250324,250324,,,,,,
SORRELS WM,1,428671,428671,,,,,,
SKELLY-MOORE,1,427541,427541,,,,,,
MCKENZIE RYAN,1,175521,175521,,,,,,
SANIBEL ENERGY INCORPORATED,1,29801,29801,,,,,,
HERB OIL & GAS COMPANY,1,163742,163742,,,,,,
MCCLELLAND WALTER R,1,143109,143109,,,,,,
NJECT DISPOSAL LLC,1,236810,236810,,,,,,
KSON OIL COMPANY,1,83007,83007,,,,,,
FARRIS LOUIS,1,44914,44914,,,,,,
ROSENBLATT MORRIS,1,419053,419053,,,,,,
MOFFETT LILLIAN PARR ESTATE OF,1,128501,128501,,,,,,
OSBORN & KIRKPATRICK,1,48701,48701,,,,,,
HANSON OIL & CARL O&G,1,717336,717336,,,,,,
JOHNSON & RAY,1,457457,457457,,,,,,
BALTIMORE DRILLING COMPANY,1,237915,237915,,,,,,
HALSEL & SON O&G,1,407668,407668,,,,,,
GILPEN & BENNET,1,45309,45309,,,,,,
NEUDIGATE J K ETAL,1,472157,472157,,,,,,
CHAMLEE & ODONNELL,1,247686,247686,,,,,,
KEMP LEWIS,1,458996,458996,,,,,,
ROTEX,1,419184,419184,,,,,,
SUNDANCE DRILLING COMPANY,1,128902,128902,,,,,,
WAGONER M B,1,199243,199243,,,,,,
ESENJAY - NUGGET,1,713624,713624,,,,,,
MURRAY-WOMACK WD,1,471193,471193,,,,,,
KRASNER & BENNETT,1,460589,460589,,,,,,
CLOW CHAS,1,43841,43841,,,,,,
PONDER CORPORATION,1,26706,26706,,,,,,
BULLOCK & KANT,1,74475,74475,,,,,,
R & W OIL,1,27343,27343,,,,,,
BIDWELL,1,240626,240626,,,,,,
LEONARD MINERALS COMPANY,1,19843,19843,,,,,,
SECREST WINONA ROSS,1,425800,425800,,,,,,
WESSEL RANCH,1,191020,191020,,,,,,
TEX-ANN OIL & GAS CORPORATION,1,33065,33065,,,,,,
DAMON MOUND OIL,1,253377,253377,,,,,,
MONTGOMERY IMPLEMENT COMPANY,1,23173,23173,,,,,,
FLYNN OIL & GEO DECK,1,277367,277367,,,,,,
GESSELL,1,447325,447325,,,,,,
BRIGGS & SARTAIN,1,243564,243564,,,,,,
ROH OIL & BRADEN DRLG,1,701898,701898,,,,,,
NELSON BUNKR HUNT TR ES,1,704563,704563,,,,,,
WOOD ETAL,1,423318,423318,,,,,,
FELDMAN D D & PANNELL,1,703453,703453,,,,,,
GREEN S M & GARDNER,1,448954,448954,,,,,,
WINDFOHR RF-MILHOAN,1,422836,422836,,,,,,
KING G A,1,46715,46715,,,,,,
CAPSTAR DRILLING,1,140757,140757,,,,,,
VIKING PET PROPERTIES,1,113687,113687,,,,,,
ASCO INCORPORATED,1,79788,79788,,,,,,
ESTACADO RESOURCES COMPANY,1,57526,57526,,,,,,
ONEIL JOHN,1,143652,143652,,,,,,
MIDWAY DRILLING INCORPORATED,1,22681,22681,,,,,,
WORHINGTON SCOTT ETAL,1,423577,423577,,,,,,
SUNLAND DRILLING,1,118391,118391,,,,,,
CKB LIMITED PARTNERSHIP,1,226564,226564,,,,,,
BRADFORD WM D & STRCKLND,1,243076,243076,,,,,,
NEW BRAUNFELS O&G,1,472198,472198,,,,,,
JLB OPERATING,1,121219,121219,,,,,,
MILLER W-SHELLEY L,1,469165,469165,,,,,,
ENSTAR CORPORATION,1,10694,10694,,,,,,
LEASING OIL & GAS,1,108165,108165,,,,,,
THUNDERBIRD CONSULTING & OPER COMPANY,1,92956,92956,,,,,,
LAHMEYER JOHN,1,461238,461238,,,,,,
KENNEDY-BRAHANEY-PNZOIL,1,459122,459122,,,,,,
CLEVELAND JONES SAND NE,1,403583,403583,,,,,,
MOWER R L & GOWER L R,1,470802,470802,,,,,,
FREY LLOYD M,1,456188,456188,,,,,,
HILLZE E E ETAL,1,411027,411027,,,,,,
WILLIAMS-EDMISTON,1,422525,422525,,,,,,
REYNOLDS BOB & MCKINNEY,1,167813,167813,,,,,,
ROBBINSON JACK,1,418406,418406,,,,,,
MORGAN DAVE O&G,1,470290,470290,,,,,,
GRAYSON M L,1,448815,448815,,,,,,
KEMP ROGER,1,459005,459005,,,,,,
BLANKENSHIP D,1,158218,158218,,,,,,
BOLINGER LELAND & BROWN,1,242316,242316,,,,,,
ELKINS CHARLES,1,274994,274994,,,,,,
JACKSON &DAVENPORT,1,456720,456720,,,,,,
LIVE OAK BAUN OIL,1,463537,463537,,,,,,
NATIONWIDE OIL & GAS CORPORATION,1,48275,48275,,,,,,
HUDSON & HOUSE,1,46125,46125,,,,,,
ROGERS M E,1,28917,28917,,,,,,
ALLISON W W,1,183355,183355,,,,,,
WALKER & ROSE,1,199287,199287,,,,,,
PARKER GEORGE-HOLLAND OIL,1,201365,201365,,,,,,
GENERAL SUPPLY &,1,447167,447167,,,,,,
OHIOKLA OIL & OKLA PET,1,473578,473578,,,,,,
BOTTIS & SHEPHERD,1,242681,242681,,,,,,
YARBOROUGH & ZINN,1,423897,423897,,,,,,
FREMONT BUTTE OIL,1,456137,456137,,,,,,
RESOURCE PROD,1,102890,102890,,,,,,
WHERRY R BRITTON ETAL,1,421668,421668,,,,,,
ODDS-ON OIL CORPORATION,1,24623,24623,,,,,,
HANSON O B,1,163314,163314,,,,,,
SEISMO PET,1,425888,425888,,,,,,
SANDHILLS DRILLING,1,424778,424778,,,,,,
WALLACE WAYNE WARE L,1,420252,420252,,,,,,
ROBERTS-CAHOON-ADOBE,1,418503,418503,,,,,,
THOMAS STANLEY,1,451390,451390,,,,,,
POTEET M H ETAL,1,415571,415571,,,,,,
READ & ELLISON,1,144137,144137,,,,,,
WHITE GEORGE W,1,421874,421874,,,,,,
FISHER H,1,276615,276615,,,,,,
