CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
WPX ENERGY ROCKY MOUNTAIN LLC,2555,239102,239102,WPX,TERRA ENERGY,,PRIVATE,YES,
LANCE OIL & GAS COMPANY,2481,137415,137415,LANCE,ANADARKO,APC,PUBLIC,YES,
TENNECO OIL COMPANY,2471,87621,87621,TENNECO,TENNECO,TEN,PUBLIC,NO,SOLD OFF TO MULTIPLE BUYERS
PENNACO ENERGY INCORPORATED,2469,173867,173867,PENNACO,MARATHON,MRO,PUBLIC,YES,
AMERADA HESS CORPORATION,2453,966,966,AMERADA,HESS,HES,PUBLIC,NO,
MEWBOURNE OIL COMPANY,2421,22518,22518,MEWBOURNE,MEWBOURNE,,PRIVATE,NO,
HUBER J M CORPORATION,2407,15869,15869,HUBER,HUBER,,PRIVATE,NO,
SINCLAIR PRAIRIE OIL,2329,100413,100413,SINCLAIR,SINCLAIR,,PRIVATE,NO,
UNION OIL COMPANY OF CALIFORNIA,2311,34551,34551,UNION,CHEVRON,CVX,PUBLIC,YES,
FASKEN OIL AND RANCH LTD,2268,132736,132736,FASKEN,FASKEN,,PRIVATE,NO,
PURE OIL COMPANY,2240,27156,27156,PURE,CHEVRON,CVX,PUBLIC,YES,
CROSS TIMBERS ENERGY LLC,2223,252143,252143,CROSS,MORNINGSTAR,,PRIVATE,,
UNIT PETROLEUM COMPANY,2204,34581,34581,UNIT,UNIT,UNIT,PUBLIC,NO,
PRIME OPERATING COMPANY,2179,124974,124974,PRIME,PRIME,,PRIVATE,NO,
BARRETT BILL CORPORATION,2173,2464,2464,BILL BARRETT,HIGHPOINT,HPR,PUBLIC,YES,Merged with Fifth Creek 03/20/2018
ATLANTIC RICHFIELD COMPANY THE,2133,1721,1721,ATLANTIC,BP,BP,PUBLIC,YES,
ROVER PETROLEUM OPERATING LLC,2121,273360,273360,ROVER,ROVER,,PRIVATE,NO,
NEWFIELD EXPLORATION MID-CONTINENT INC,2117,208810,208810,NEWFIELD,NEWFIELD,NFX,PUBLIC,NO,
MARATHON OIL EF LLC,2098,237762,237762,MARATHON,MARATHON,MRO,PUBLIC,NO,
THOMPSON J CLEO,2098,16717,16717,J CLEO THOMPSON,J CLEO THOMPSON,,PRIVATE,NO,
BOPCO LIMITED PARTNERSHIP,2075,221627,221627,BOPCO,BOPCO,,PRIVATE,NO,
EPIC PERMIAN OPERATING LLC,2073,271255,271255,EPIC,EPIC,,PRIVATE,NO,
PARSLEY ENERGY OPERATIONS LLC,2061,227995,227995,PARSLEY,PARSLEY,PE,PUBLIC,NO,
TEXACO EXPLORATION & PRODUCTION INC,2054,93322,93322,TEXACO,CHEVRON,CVX,PUBLIC,YES,
WOLD ENERGY PARTNERS LLC,2032,255611,255611,WOLD,WOLD,,PRIVATE,NO,
TEXLAND PETROLEUM LIMITED PARTNERSHIP,2023,213167,213167,TEXLAND,TEXLAND,,PRIVATE,NO,
SAMSON RESOURCES COMPANY,2013,29682,29682,SAMSON RESOURCES,SAMSON RESOURCES,,PRIVATE,NO,
CRESCENT POINT ENERGY US CORP,1965,232698,232698,CRESCENT POINT,CRESCENT POINT,CPG,PUBLIC,NO,
OHIO OIL COMPANY,1934,24682,24682,OHIO,MARATHON,MRO,PUBLIC,NO,
STANOLIND OIL & GAS COMPANY,1920,96075,96075,STANOLIND,BP,BP,PUBLIC,YES,
JETTA OPERATING COMPANY INCORPORATED,1919,152602,152602,JETTA,JETTA,,PRIVATE,NO,
FOREST OIL CORPORATION,1835,72495,72495,FOREST,SABINE,,PRIVATE,YES,
OASIS PETROLEUM NORTH AMERICA LLC,1822,226186,226186,OASIS,OASIS,OAS,PUBLIC,NO,
PAN AMERICAN,1816,153301,153301,PAN,BP,BP,PUBLIC,YES,
PAN AMERICAN PETROLEUM CORPORATION,1808,65852,65852,PAN,BP,BP,PUBLIC,YES,
HOWELL PETROLEUM CORPORATION,1779,74794,74794,HOWELL,ANADARKO,APC,PUBLIC,YES,
TRUE OIL LLC,1767,34273,34273,TRUE,TRUE,,PRIVATE,NO,
AGHORN OPERATING INCORPORATED,1763,134467,134467,AGHORN,AGHORN,,PRIVATE,NO,
SUPERIOR OIL COMPANY THE,1742,32365,32365,SUPERIOR,EXXON,XOM,PUBLIC,YES,
KILLAM OIL COMPANY LIMITED,1741,129941,129941,KILLAM,KILLAM,,PRIVATE,NO,
DIAMONDBACK EXPLORATION & PROD LLC,1740,241051,241051,DIAMONDBACK,DIAMONDBACK ,FANG,PUBLIC,NO,
LARAMIE ENERGY LLC,1735,215927,215927,LARAMIE,LARAMIE,,PRIVATE,NO,
HIGH PLAINS GAS LIMITED LIABILITY CORP,1705,222078,222078,HIGH PLAINS,HIGH PLAINS,,PRIVATE,NO,
WHITE OAK OPERATING COMPANY LLC,1702,211725,211725,WHITE OAK,WHITE OAK,,PRIVATE,NO,
SN EF MAVERICK LLC,1688,272184,272184,SN EF MAVERICK,SANCHEZ,SN,PUBLIC,NO,
RKI EXPLORATION & PRODUCTION LLC,1685,222138,222138,RKI,WPX,WPX,PUBLIC,YES,
WILLIAMS PRODUCTION RMT COMPANY,1671,209839,209839,WILLIAMS,TERRA ENERGY,,PRIVATE,YES,
NEW DOMINION LIMITED LIABILITY CORP,1668,175659,175659,NEW DOMINION,NEW DOMINION,,PRIVATE,NO,
MOBIL PRODUCING TEXAS & NEW MEXICO INC,1666,89269,89269,MOBIL,EXXON,XOM,PUBLIC,NO,
LAREDO PETROLEUM INCORPORATED,1661,116407,116407,LAREDO,LAREDO,LPI,PUBLIC,NO,
ANADARKO PETROLEUM CORPORATION,1639,1131,1131,ANADARKO,ANADARKO,APC,PUBLIC,NO,
TIDAL OIL,1617,51168,51168,TIDAL,TIDAL,,,,"merged with Tide Water, then Getty?"
WEXPRO COMPANY,1609,36046,36046,WEXPRO,QUESTAR,STR,PUBLIC,YES,
DUGAN PRODUCTION CORPORATION,1607,9758,9758,DUGAN,DUGAN,,PRIVATE,NO,
STEPHENS & JOHNSON OPERATING COMPANY,1604,129054,129054,STEPHENS,SJOC,,PRIVATE,NO,
UNKNOWN,1593,34633,34633,UNKNOWN,UNKNOWN,,,,
JM COX RESOURCES LIMITED PARTNERSHIP,1593,214455,214455,JM COX,JM COX,,PRIVATE,NO,
SHELL WESTERN E & P INCORPORATED LP,1579,30528,30528,SWEPI,SHELL,RDSA,PUBLIC,NO,
UNION PACIFIC RESOURCES COMPANY,1578,34556,34556,UNION PACIFIC,ANADARKO,APC,PUBLIC,YES,
WALSH & WATTS INCORPORATED,1574,35431,35431,WALSH-WATTS,WALSH-WATTS,,PRIVATE,NO,
WILDHORSE RESOURCES MANAGEMENT CO LLC,1573,257979,257979,WILDHORSE,WILDHORSE,WRD,PUBLIC,NO,
NORTHWESTERN CORPORATION,1546,229044,229044,NORTHWESTERN,NORTHWESTERN,NWE,PUBLIC,NO,
SUMMIT GAS RESOURCES INCORPORATED,1523,235692,235692,SUMMIT GAS,SUMMIT GAS,,PRIVATE,NO,
KAUFFMAN K P COMPANY INCORPORATED,1521,73488,73488,K P KAUFFMAN,K P KAUFFMAN,,PRIVATE,,
ROCKER A OPERATING COMPANY,1516,86144,86144,ROCKER,ROCKER,,PRIVATE,NO,
PATRIOT ENERGY RESOURCES LLC,1468,227228,227228,PATRIOT,HIGH PLAINS,,PRIVATE,YES,
ARCO OIL & GAS CORPORATION,1453,1426,1426,ARCO,BP,BP,PUBLIC,YES,
BLACKBEARD OPERATING LLC,1445,261510,261510,BLACKBEARD,BLACKBEARD,,PRIVATE,NO,
GREAT PLAINS RESOURCES INCORPORATED,1431,64031,64031,GREAT PLAINS,GREAT PLAINS,,PRIVATE,NO,
EXTRACTION OIL & GAS LLC,1427,254913,254913,EXTRACTION,EXTRACTION,XOG,PUBLIC,NO,
FOURPOINT ENERGY LLC,1427,266849,266849,FOURPOINT,FOURPOINT,,PRIVATE,NO,
WPX ENERGY PRODUCTION LLC,1409,239098,239098,WPX,WPX,WPX,PUBLIC,NO,
DISCOVERY NATURAL RESOURCES LLC,1406,258459,258459,DISCOVERY,DISCOVERY,,PRIVATE,NO,
TEXAS OIL & GAS CORPORATION,1397,33193,33193,TEXAS,MARATHON,MRO,PUBLIC,YES,
ENERGYQUEST II LLC,1395,226770,226770,ENERGYQUEST,ENERGYQUEST II,,PRIVATE,NO,
TORRENT OIL LLC,1362,271420,271420,TORRENT,TORRENT,,PRIVATE,NO,
ROSEWOOD RESOURCES INCORPORATED,1355,29075,29075,ROSEWOOD,ROSEWOOD,,PRIVATE,NO,
ANSCHUTZ OIL COMPANY LLC,1327,254512,254512,ANSCHUTZ,ANSCHUTZ,,PRIVATE,NO,
PARALLEL PETROLEUM LLC,1320,230667,230667,PARALLEL,PARALLEL,,PRIVATE,NO,
SAMEDAN OIL CORPORATION,1299,29669,29669,SAMEDAN,NOBLE,NBL,PUBLIC,YES,
CROWNQUEST OPERATING LLC,1294,192093,192093,CROWNQUEST,CROWNQUEST,,PRIVATE,NO,
MACK ENERGY COMPANY,1292,39489,39489,MACK ENERGY,MEC,,PRIVATE,NO,
MACK ENERGY CORPORATION,1282,62132,62132,MACK ENERGY,MEC,,PRIVATE,NO,
APV MCCAMEY LLC,1279,256529,256529,MCCAMEY,MCCAMEY,,PRIVATE,NO,
PETROLEUM INCORPORATED,1278,75780,75780,PETROLEUM,,,,,
BARNSDALL OIL COMPANY,1276,2439,2439,BARNSDALL,BARNSDALL,,PRIVATE,NO,
GREAT WESTERN DRILLING COMPANY,1276,13400,13400,GREAT WESTERN DRILLING,GREAT WESTERN DRILLING,,PRIVATE,NO,
ROSETTA RESOURCES OPERATING LP,1271,219714,219714,ROSETTA,NOBLE,NBL,PUBLIC,YES,
SOHIO PETROLEUM COMPANY,1270,31248,31248,SOHIO,BP,BP,PUBLIC,YES,
KEWANEE OIL COMPANY,1270,18470,18470,KEWANEE,CHEVRON,CVX,PUBLIC,YES,
MCGOWAN WORKING PARTNERS,1269,83930,83930,MCGOWAN,MCGOWAN,,PRIVATE,NO,
ATLANTIC REFINING COMPANY THE,1263,33319,33319,ATLANTIC REFINING,BP,BP,PUBLIC,YES,
BRIDWELL OIL COMPANY,1249,4164,4164,BRIDWELL,BRIDWELL,,PRIVATE,NO,
CANTERA OPERATING LLC,1238,254472,254472,CANTERA,CANTERA,,PRIVATE,NO,
7S OIL & GAS LLC,1233,261017,261017,7S,7S,,PRIVATE,NO,
MID-CON ENERGY OPERATING LLC,1229,254286,254286,MID-CON ENERGY,MID-CON ENERGY,MCEP,PUBLIC,NO,
