WELL_KEY,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,OIL_CUM_3MOS,OIL_CUM_6MOS,OIL_CUM_12MOS,GOR_30,GOR_60,GOR_90
05123378170000,6563,658.4938,637.892,12586,23448,37461,5217.391304347826,5347.347442346018,5945.851406184413
35017246510000,4103,1094.105,1203.003,25762,67803,77251,6785.575319622012,7068.788629482271,9430.603458528579
33013017580000,9261,349.1602,296.6263,30771,52733,92040,1295.864496260448,1107.962348842662,1109.807804605580
33025030150000,9370,401.1601,467.5019,38289,59853,NULL,781.966872271120,677.227722772277,667.058424090469
33053054220000,9966,572.1024,452.2385,69198,136114,193029,1860.359335910848,1619.610670511896,1180.675505818432
33053058390000,9198,269.3066,201.0083,56455,76865,93807,1675.434625135820,1634.239719550727,1655.265255513240
33053058850000,10207,975.1119,517.6769,42210,81015,118974,1780.589768947226,1645.998404679606,1535.170131939054
33061024480000,7671,285.057,212.0465,47501,74768,114761,982.324980386727,950.438596491228,957.720834337430
05123413370000,5661,572.3895,891.652,18699,35527,46656,3654.059284017943,4250.066057179094,4923.731966433797
05123415540000,4855,522.9969,878.9037,21408,59122,101666,2861.499002564833,2969.972533590676,3004.295487087023
05123417920000,5285,303.4021,1606.342,26892,61687,87008,2368.673445805407,2548.582618425960,2730.352334706464
05123414680000,11906,1269.719,916.0685,19321,58999,123719,7026.948564215840,6836.866538973476,6959.874332971424
05123419440000,6366,965.7407,930.0671,25426,49076,69888,3013.602015113350,3341.965001650865,3488.150200061557
05123414750000,9291,1156.384,925.509,22136,51485,83132,7638.776172699237,7278.838935691050,7628.916970775401
05123414700000,11859,1160.655,916.3749,11668,47496,88986,6415.457361813142,6476.055143160127,6534.996975196612
33053060290000,9532,952.2245,803.0914,32999,67708,122644,1199.593358183666,1321.548233980175,1286.948228882833
05123364320000,4008,1407.879,500.1861,26491,42150,59363,2905.166240409207,2926.191458634206,3126.835529047601
05123405330000,5089,299.4575,2134.946,17848,39152,65125,2820.879854947991,3159.170671130068,3332.551136141421
05123426180000,6264,533.3159,761.8405,21590,62500,106573,2523.859562368648,2599.202998885549,2604.962111953067
05123426270000,6099,1788.587,1577.639,8571,56645,97426,2943.917169974115,3256.980202769693,3400.123231509349
33053067150000,10304,986.2505,578.8079,24469,75849,101045,1287.568332874503,1185.466777255552,1212.923316465550
05123425410000,5684,285.0928,1463.805,11983,42840,73290,2737.731823403906,2769.845521921600,2841.105745859934
33105040960000,9790,903.3571,1087.733,9922,28391,56150,6549.217907227615,6471.507701646558,6328.496399371920
35017248620000,4945,2374.438,1897.925,12610,21046,25911,8539.518900343642,9068.078175895765,9462.569389373513
33053058070100,9519,586.697,573.2714,61152,114096,200229,1272.826595910722,1084.067226890756,1050.295026692891
35073251300000,4610,2143.503,1969.995,25963,37630,60793,2377.707520516615,3039.085006664660,4277.997251803503
33105029640100,1990,264.8014,693.9275,6550,32029,49236,980.773632410162,968.340409820934,918.150957629604
05123424560000,8457,788.3975,1158.405,31828,74078,NULL,2176.284306826178,2334.650783560432,2424.304637068914
33053060950200,6180,933.6445,686.4843,28718,46474,92582,1769.225789746245,1770.827848196487,1759.846727315382
33105037340100,9782,388.692,658.4738,24503,47752,63136,2056.807785078599,1803.336944745395,1892.813841465412
33025030650000,12672,1047.215,647.9028,29796,NULL,NULL,531.841916658134,1005.016893621378,1005.016893621378
33053062520100,8729,1010.055,511.3686,74998,120145,196190,1230.564293509661,1252.016917226427,1251.949599565392
33053062390000,9658,410.8288,437.6198,8546,35378,59346,1698.631239935587,1830.769958828261,1911.449016100178
33025024240000,9991,492.9604,569.0628,3041,3041,104190,664.744785484144,729.824883102594,747.098760558932
33053053980100,3068,280.3287,191.2933,31853,75805,106306,1666.701791359325,1692.214259686626,1779.031670913724
33061028210100,5962,362.9624,361.3568,28550,48780,81991,712.107623318385,620.524761944363,591.490150064842
33061031810000,4651,1202.742,702.795,26987,44239,64449,878.504672897196,960.868170640436,987.897005893287
35073249600000,4027,381.0174,1766.227,9336,15877,23024,1631.778058007566,1707.886074137684,1914.658957061783
33053058170000,9750,201.392,196.7033,26882,34072,55591,1307.848443843031,1474.942844078646,1545.271929171936
33025024860000,10227,246.1758,335.6504,21093,45487,71848,1109.682066056178,1077.830051693094,956.090469879002
35137271260000,3703,806.436,1619.852,1669,2541,3756,229475.583864118895,249964.649490713001,291283.084577114427
35073248700000,4093,580.6494,NULL,1722,1722,6671,8401.277584204413,16572.590011614401,23536.004645760743
33105033020000,9948,299.3645,196.4402,58144,85988,125119,1476.100713612494,1209.788785004414,1120.218767198679
35017248010000,4804,2222.042,2718.956,23901,45236,68568,13395.953757225433,14561.274631458777,15279.411215302424
05123394260000,4482,295.6805,1133.511,15136,30538,45272,2532.046124966478,2423.975784879628,2295.742062515382
05123380990000,4130,90.19492,142.9206,8644,11520,15316,1207.557891745986,1536.626303800503,1642.252917871292
05123410720000,4379,896.0574,601.4777,12207,23190,34595,2792.791336673670,2697.379160243039,2708.454006343952
05123363850000,6551,788.1885,1271.231,27873,66160,105083,2011.604751768179,1933.697455752212,1782.863681876698
05123372030000,4746,954.3585,675.2736,15539,32982,45261,5890.118474157010,6247.185918259424,6430.029238089778
05001098010100,4276,983.2365,NULL,32126,39067,39067,1208.166858535924,1323.198820711258,1323.198820711258
05123386920000,5132,746.1893,528.4964,26749,39072,53564,1739.503252513305,1913.700489935659,2012.714529607332
05123376690100,4063,NULL,NULL,20481,36644,54544,1196.691651589558,997.630819942315,936.939354442996
05123372700000,4111,576.7808,884.9143,19462,33328,51385,2964.859866268316,3127.694216157543,3293.969021201801
33053073500000,10089,784.5408,1345.376,9477,NULL,NULL,1530.420606455820,1542.163153070577,1542.163153070577
05123385400000,6613,1325.188,805.0737,30350,64882,95940,2001.329590781503,2036.519827375620,2150.787675199814
05123409090000,9146,787.7303,841.2864,28717,59276,87141,3163.385826771653,3519.041678896389,3717.561257148853
05123409170000,4616,674.8275,940.2503,26392,46310,65277,2902.309638455888,2512.164102564102,2542.631150401302
05123374240000,4036,811.6614,516.4981,9676,18433,30308,1769.439596664727,1642.252328535139,1773.921200750469
05123408800000,9375,1078.892,1174.259,54701,111533,152019,3453.942609115022,3388.894540867194,3385.787681117589
35017248840000,4965,3215.207,2597.636,6850,13773,19139,20898.830935251798,25490.183246073298,21496.226008194953
33053069070000,8997,919.4942,808.2618,63342,110184,157784,2086.508567710216,1900.388000378536,2084.817476631307
33023012430000,13218,509.4684,691.5113,49295,94668,129410,1334.131493506493,1163.586130089310,1078.433010357500
05123416350000,3953,NULL,NULL,20787,29594,38020,3441.661649608669,3652.196550602017,3952.037331024197
35051239380000,4808,915.2239,819.4484,8649,12639,16889,40911.404796867351,43554.019534184823,48873.943217665615
33053062320000,9317,992.1575,767.5929,29592,46523,54783,599.920246097755,890.888926804299,1038.185996215193
05123368090000,3993,560.5068,801.655,19726,49850,80574,3105.138761817627,2897.170435527186,3258.152018731083
33053067470000,10952,522.0962,261.6619,115979,258431,375920,2411.024915867473,2436.804569757656,2450.863106687680
33061035240000,10196,981.1085,782.1153,81180,148104,256582,1633.049434455409,1395.856158209327,1308.059585408272
33061038490000,10142,352.9176,224.1214,44684,64873,85883,941.691210995859,922.078290200969,922.544982544087
33053066030000,4291,2915.968,1465.793,163130,271209,384414,2090.113202337674,2076.515085644726,1999.337767579656
05123386250000,4513,552.5701,838.201,19526,38872,60298,2420.719047098677,2457.468063207604,2347.187310392649
33025028950000,9232,741.5112,443.7686,20588,75998,133939,645.412772987763,655.294277558787,679.061885190018
05123405250000,4210,741.5126,492.8687,18197,29528,42496,1234.604500741140,1241.572206683350,1256.250000000000
35073250080000,4731,93.92136,340.9766,21762,34335,49791,874.310027598896,902.940797110795,897.068284165058
33105034460000,10100,96.6047,110.2489,5319,18813,32489,545.916294189353,460.412991594894,454.942937601897
33105034350000,10107,403.0542,318.3887,38105,62021,93452,1066.766691672918,690.539012438748,849.993439181209
33053061760000,10275,596.7408,511.1492,5259,5259,37043,1909.960926439775,1310.996229642010,1515.917129863567
33053042720000,9948,189.1786,141.4142,74621,117682,164891,1192.595219099961,1218.722302974438,1298.345287022859
33061031020000,10762,308.765,198.0959,58180,94187,129791,1399.819460638657,1364.716411231681,1401.557322730284
05005072200000,6790,1333.963,1291.471,52919,77583,122489,1191.315879954811,1136.594025780224,1107.182675409588
33105031870000,10003,254.747,3.174296,2137,2137,16673,1269.405428239518,1308.269124931205,1306.695464362850
33061027130000,4688,699.9217,143.5271,36323,61533,94667,376.235035809503,450.728116498639,488.858732528158
33105033720000,9622,360.1634,244.8464,69510,106132,144363,1581.707959936742,1584.740188555141,1628.441950798446
33023012670000,9323,252.0844,299.3251,28147,44863,66645,723.983029698028,777.534874037060,664.603242155762
33053055080000,9610,727.3351,407.1997,14602,18209,99681,1601.136157611651,868.627258122684,813.597838103427
33053052500000,9952,947.3578,679.5715,46378,78618,121694,1430.024861350162,1450.084495141529,1465.804035360010
33053054920000,4063,908.1951,562.3447,55804,73007,112470,1311.372261801717,1298.670618302085,1312.602935911206
33105030690000,9384,432.9788,463.5694,46563,64146,116283,1642.561010081974,1585.076017941399,1245.771121836799
33061032040000,10279,237.7958,166.9554,21260,40143,67092,1030.454644333260,1019.248508701801,989.961845930232
33105033690000,9411,635.8237,1303.085,30408,68496,150656,1822.472956886289,1868.398559130594,1958.979827214762
33053055210000,9934,354.4582,220.3065,23578,29833,89524,1455.874203380437,1461.208090883901,896.556111629485
33053060160000,9487,500.4152,388.2466,24156,43718,65817,1385.069415579017,1534.114077094495,1888.880025526483
33061028300000,9361,389.6507,264.3578,47709,66478,106448,1073.061430010070,1033.887079860919,1009.054895302773
33105034410000,9238,252.632,214.1642,20947,35993,56998,1252.510905955158,1295.034337031167,1304.694373997205
33025021240000,9459,347.4181,320.8968,29866,66395,118047,507.708880360869,481.510096575943,513.349240236091
05001097820000,4221,801.2611,505.2079,3074,5295,7399,3652.173913043478,4010.889292196007,3703.643461288223
05123395230000,7719,810.4753,704.3475,11369,20400,29725,1364.718614718614,1407.169428474805,1247.015816174276
33025024420000,9498,508.7298,612.5782,38594,97315,145893,1161.012986078635,915.776058668336,760.886224689634
33053052520100,5375,580.0727,475.3727,12296,58584,89428,1883.674818241903,1772.814442534056,1799.483458369204
05123395460000,4123,898.3952,597.6189,19187,28848,40347,1963.305898491083,2043.539129217415,2467.278926528816
33105034270000,9936,304.1656,337.049,12952,28856,51658,777.793946449359,742.244599642683,731.996353691886
33025021650000,9963,490.1762,924.8453,67001,149225,213231,1015.103752638359,834.695275051358,790.460681830120
05123419170000,5266,864.663,1249.203,18087,27775,53330,2530.272290443139,2649.837040425410,3901.965226255875
05123400700000,6785,NULL,NULL,25705,46916,71726,3081.132274018730,3116.790736145574,3215.868558852546
05123392600100,6894,NULL,NULL,37445,60284,82394,1394.724785653511,1552.277147785239,1621.498247425481
33061028950000,8758,273.2148,252.938,41636,56160,73434,1156.411800120409,1131.470115638911,1103.828417715438
33053055620000,9994,363.2738,213.5892,12330,39424,88161,1281.400867359463,1502.049590081983,1904.736251402918
33053063570000,10070,392.1836,293.8116,41916,77212,114273,1617.096134786917,1696.731429798196,1772.476921883484
